"COD_MUNICIPIO","MUNICIPIO","QTD_INTERNACOES","PERMANENCIA_MEDIA","TAXA_MORTALIDADE_PCT","VALOR_MEDIO_INTERNACAO","QTD_ESTAB_HOSPITALARES","POPULACAO","INTERNACOES_POR_MIL_HAB"
"352340","Itatiba",463,3.46,4.1,1062.92,0,121590,3.81
"350635","Bertioga",327,5,10.09,1023.05,0,64188,5.09
"352840","Mairinque",145,4.44,4.14,1239.89,0,50027,2.9
"354660","Santa Fé do Sul",219,5,5.48,2098.24,0,34794,6.29
"351310","Cravinhos",183,4.77,8.2,2853.99,0,33281,5.5
"352170","Itaberá",59,3.69,10.17,1455.68,0,17983,3.28
"350115","Alumínio",33,3.36,6.06,1063.76,0,17301,1.91
"352130","Ipuã",58,2.69,1.72,786.25,0,14454,4.01
"355385","Taquarivaí",10,4.4,20,1801.05,0,6876,1.45
"351270","Corumbataí",16,5.38,6.25,1536.89,0,4195,3.81
"352080","Inúbia Paulista",15,7.2,13.33,1224.24,0,3615,4.15
"352590","Jundiaí",2224,6.16,5.58,1197.98,0,443221,5.02
"353870","Piracicaba",1840,4.52,5.82,2019.43,0,423323,4.35
"352390","Itu",776,11.02,6.44,2086.31,0,168240,4.61
"350010","Adamantina",272,10.01,6.99,1763.97,0,34687,7.84
"355020","São Miguel Arcanjo",151,5.15,9.27,1060.51,0,32039,4.71
"353920","Pirapozinho",145,6.06,6.9,1294.07,0,25348,5.72
"350800","Buri",49,5.22,10.2,2749.37,0,20250,2.42
"354240","Regente Feijó",137,5.64,5.11,1406.85,0,20145,6.8
"353680","Pedra Bela",30,2.37,3.33,930.7,0,6557,4.58
"354700","Santa Maria da Serra",39,6.31,7.69,1277.19,0,5243,7.44
"352060","Indiana",36,3.92,13.89,2415.79,0,5090,7.07
"352580","Júlio Mesquita",24,7.17,8.33,1878.28,0,4254,5.64
"353160","Monte Castelo",26,3.85,15.38,1296.33,0,4222,6.16
"351512","Emilianópolis",35,2.97,0,833.81,0,3014,11.61
"354100","Praia Grande",1063,5.94,8.94,1851.06,0,349935,3.04
"352040","Ilhabela",316,3.61,4.11,1079.32,0,34934,9.05
"353140","Monte Aprazível",220,4.07,2.27,1335.96,0,22280,9.87
"352280","Itaporanga",115,3.12,11.3,1097.22,0,14085,8.16
"355660","Vera Cruz",48,6.81,6.25,1298.52,0,10176,4.72
"355690","Vista Alegre do Alto",32,2.66,3.13,1656.97,0,8109,3.95
