COD_MUNICIPIO,MUNICIPIO,QTD_INTERNACOES,PERMANENCIA_MEDIA,TAXA_MORTALIDADE_PCT,VALOR_MEDIO_INTERNACAO,QTD_ESTAB_HOSPITALARES,POPULACAO,INTERNACOES_POR_MIL_HAB,internacoes_esperadas,razao_obs_esperado,cluster
351990,Iepê,65,3.58,4.62,784.14,1,7619,8.53,33.87452619537424,1.9188460268080776,0
354765,Santa Salete,14,2.71,7.14,892.3,0,1645,8.51,7.313767632417722,1.914198085532012,0
350570,Barueri,2659,3.86,4.55,1093.37,7,316473,8.4,1407.0577409933942,1.889758978990247,0
355580,Urânia,74,4.03,4.05,1410.02,1,8833,8.38,39.272042247505006,1.884292126536946,2
352200,Itaju,30,2.53,10.0,825.77,0,3618,8.29,16.085842731967976,1.8649939888060647,0
353100,Monções,16,3.94,0.0,948.53,0,1937,8.26,8.612016962913755,1.8578690763036567,2
353590,Paranapuã,33,4.67,15.15,2165.04,1,4031,8.19,17.92206524393668,1.8413056503722096,1
352280,Itaporanga,115,3.12,11.3,1097.22,1,14085,8.16,62.62274595902956,1.8363934420128727,0
353657,Paulistânia,17,5.41,0.0,790.27,0,2090,8.13,9.292264043618868,1.8294787922728204,2
350090,Altair,28,3.75,7.14,3009.42,0,3451,8.11,15.343350820348666,1.824894726572101,0
353530,Palmital,159,5.6,5.66,1547.41,1,19594,8.11,87.11608692376464,1.8251508488798518,2
354190,Queluz,74,5.43,2.7,1894.9,1,9159,8.08,40.72145759593551,1.8172237529971442,2
350590,Batatais,471,4.69,5.94,1880.27,1,58402,8.06,259.65875821790866,1.8139191731200197,2
351910,Iacanga,84,5.49,4.76,1310.8,1,10437,8.05,46.403521446531165,1.8102074450705143,2
352920,Martinópolis,200,4.89,5.5,979.09,1,24881,8.04,110.62240271257468,1.807952052168413,2
354040,Populina,33,3.21,12.12,1846.96,1,4127,8.0,18.348886941634007,1.798474212902926,0
355430,Teodoro Sampaio,177,5.0,2.82,861.53,1,22173,7.98,98.58247399002926,1.7954509847044615,2
351260,Coronel Macedo,34,3.47,14.71,634.71,0,4280,7.94,19.029134022339118,1.7867339606776609,0
351690,General Salgado,81,3.46,1.23,1171.53,1,10312,7.85,45.847764027654435,1.7667164739188252,0
350010,Adamantina,272,10.01,6.99,1763.97,1,34687,7.84,154.22046070861612,1.763708905745758,2
350430,Avaí,35,6.26,2.86,2589.69,0,4483,7.81,19.931684070594923,1.7559981322218157,2
350740,Borborema,110,3.93,11.82,1714.12,1,14226,7.73,63.2496403275225,1.7391403244412524,0
353990,Poloni,43,3.88,0.0,1422.33,0,5592,7.69,24.86236389086924,1.7295217859711178,0
351360,Cunha,170,4.47,8.24,1091.78,1,22110,7.69,98.3023722509154,1.729358062347442,0
352070,Indiaporã,31,5.52,3.23,1194.89,1,4035,7.68,17.939849481340733,1.7279966608551065,2
355300,Taguaí,97,3.4,7.22,1419.74,1,12669,7.66,56.327125917993996,1.7220832488634545,0
355380,Taquarituba,186,3.59,7.53,1266.35,1,24350,7.64,108.26154519718634,1.7180615671171304,0
355535,Ubarana,41,5.1,0.0,1899.6,0,5365,7.64,23.853108418189105,1.7188535465145327,2
352950,Mendonça,47,6.17,2.13,2809.97,0,6159,7.63,27.383279542894073,1.7163758609109492,2
354640,Santa Cruz do Rio Pardo,354,4.4,7.34,1539.83,2,46442,7.62,206.48388837978348,1.7144194773632497,0
350260,Aparecida d'Oeste,31,2.45,3.23,2760.02,1,4086,7.59,18.166598508242437,1.7064284205948004,0
352190,Itajobi,129,3.99,9.3,2355.02,1,16989,7.59,75.53410231437367,1.707837864585995,0
350980,Campos Novos Paulista,37,6.84,10.81,2177.93,0,4888,7.57,21.732338107755517,1.7025319510741452,2
355390,Tarabai,49,6.53,0.0,996.28,0,6536,7.5,29.05944391822628,1.686198818459388,2
352740,Lucélia,150,6.91,8.0,1209.38,1,20061,7.48,89.19239664068809,1.6817577018843386,2
354700,Santa Maria da Serra,39,6.31,7.69,1277.19,0,5243,7.44,23.310689177365422,1.6730522080775214,2
355070,São Sebastião,607,4.22,5.11,1149.16,3,81595,7.44,362.77621274597203,1.673207830815086,0
350250,Aparecida,242,4.99,7.85,1665.34,1,32569,7.43,144.80370700316888,1.6712279333753801,0
354080,Potirendaba,137,4.2,5.11,1500.89,1,18496,7.41,82.23431375635147,1.6659712198232899,0
352600,Junqueirópolis,151,4.84,7.28,1163.22,1,20448,7.38,90.91302160953043,1.6609281852773732,0
354920,São João das Duas Pontes,19,4.21,5.26,894.11,0,2580,7.36,11.470833125615636,1.656374893779154,0
354370,Rincão,67,4.12,7.46,1885.82,0,9098,7.36,40.45024797552367,1.6563557296494573,0
353830,Piquerobi,24,5.54,4.17,1302.34,0,3264,7.35,14.511937721709085,1.6538108459559664,2
352320,Itararé,326,2.82,7.36,1147.93,1,44438,7.34,197.5739854403518,1.6500147996377812,0
355465,Torre de Pedra,15,5.47,0.0,1727.39,0,2046,7.33,9.09663743217426,1.64896096077721,2
351070,Cardoso,83,7.69,6.02,2336.97,1,11345,7.32,50.440543337251704,1.645501703759449,2
352970,Miguelópolis,142,3.66,3.52,1287.73,2,19441,7.3,86.43583984305953,1.6428370483566497,0
351050,Caraguatatuba,982,4.59,6.82,1307.91,6,134873,7.28,599.6533628492859,1.6376127623698682,0
351510,Embu-Guaçu,487,4.6,6.37,1468.1,1,66970,7.27,297.75259473739504,1.6355860825646642,0
353900,Pirangi,79,3.8,5.06,1510.76,1,10885,7.26,48.39535603578535,1.632388032057961,0
354500,Salesópolis,110,5.68,11.82,1597.52,0,15202,7.24,67.58899425411198,1.6274839005065949,1
352870,Marabá Paulista,33,6.15,15.15,1698.59,0,4573,7.22,20.331829412186167,1.6230708674065988,1
353250,Neves Paulista,70,4.77,5.71,1931.93,0,9699,7.22,43.12232964548297,1.6232889218992472,0
355440,Terra Roxa,57,4.95,10.53,1590.08,1,7904,7.21,35.14165311041317,1.622006791226044,0
350480,Bálsamo,69,6.52,1.45,2379.22,0,9596,7.19,42.664385532328545,1.6172739660744881,2
352965,Mesópolis,14,4.71,7.14,822.31,0,1952,7.17,8.678707853178963,1.6131433661373769,0
353430,Orlândia,274,3.09,2.55,1057.2,1,38319,7.15,170.3685482714983,1.6082780699836408,0
354930,São João do Pau d'Alho,16,10.63,12.5,1562.12,0,2242,7.14,9.968065064972969,1.6051259593221154,2
351450,Duartina,88,3.83,6.82,781.67,1,12328,7.14,54.81101967929828,1.6055165642765254,0
354380,Rinópolis,66,4.0,7.58,790.28,1,9259,7.13,41.16606353103689,1.6032623559024468,0
